"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Animals; live",101,"Horses",10101,"Animal Products",1,1240686,2018
"Animals; live",101,"Other Animals",10106,"Animal Products",1,57830,2018
"Meat and edible meat offal",102,"Bovine Meat",10201,"Animal Products",1,16370.000000000002,2018
"Meat and edible meat offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,174912,2018
"Meat and edible meat offal",102,"Pig Meat",10203,"Animal Products",1,2230400,2018
"Meat and edible meat offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,24092,2018
"Meat and edible meat offal",102,"Edible Offal",10206,"Animal Products",1,6051,2018
"Meat and edible meat offal",102,"Poultry Meat",10207,"Animal Products",1,88897,2018
"Meat and edible meat offal",102,"Other Meat",10208,"Animal Products",1,11431,2018
"Meat and edible meat offal",102,"Preserved Meat",10210,"Animal Products",1,25629,2018
"Aquatic Animals",103,"Live Fish",10301,"Animal Products",1,57181.99999999999,2018
"Aquatic Animals",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,9368,2018
"Aquatic Animals",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,14310,2018
"Aquatic Animals",103,"Fish Fillets",10304,"Animal Products",1,109844,2018
"Aquatic Animals",103,"Processed Fish",10305,"Animal Products",1,253864,2018
"Aquatic Animals",103,"Crustaceans",10306,"Animal Products",1,92705,2018
"Aquatic Animals",103,"Molluscs",10307,"Animal Products",1,3559,2018
"Edible Animal By-Products",104,"Milk",10401,"Animal Products",1,27421,2018
"Edible Animal By-Products",104,"Concentrated Milk",10402,"Animal Products",1,11214262,2018
"Edible Animal By-Products",104,"Fermented Milk Products",10403,"Animal Products",1,467137,2018
"Edible Animal By-Products",104,"Whey and other milk products",10404,"Animal Products",1,2967847,2018
"Edible Animal By-Products",104,"Butter",10405,"Animal Products",1,43599,2018
"Edible Animal By-Products",104,"Cheese",10406,"Animal Products",1,15917574,2018
"Edible Animal By-Products",104,"Eggs",10407,"Animal Products",1,143380,2018
"Edible Animal By-Products",104,"Processed Egg Products",10408,"Animal Products",1,10964,2018
"Edible Animal By-Products",104,"Honey",10409,"Animal Products",1,106413,2018
"Edible Animal By-Products",104,"Other Edible Animal Products",10410,"Animal Products",1,1093,2018
"Other Animal Products",105,"Human Hair",10501,"Animal Products",1,39196,2018
"Other Animal Products",105,"Animal Organs",10504,"Animal Products",1,576842,2018
"Other Animal Products",105,"Bird Feathers and Skins",10505,"Animal Products",1,287467,2018
"Other Animal Products",105,"Raw Bones",10507,"Animal Products",1,2001,2018
"Other Animal Products",105,"Other Inedible Animal Products",10511,"Animal Products",1,5473112,2018
"Live trees, plants, bulbs, roots and cut flowers",206,"Bulbs and Roots",20601,"Vegetable Products",2,2790,2018
"Live trees, plants, bulbs, roots and cut flowers",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,91171,2018
"Live trees, plants, bulbs, roots and cut flowers",206,"Cut Flowers",20603,"Vegetable Products",2,42019,2018
"Live trees, plants, bulbs, roots and cut flowers",206,"Plant foliage",20604,"Vegetable Products",2,7470,2018
"Vegetables and certain roots and tubers; edible",207,"Legumes",20708,"Vegetable Products",2,2474,2018
"Vegetables and certain roots and tubers; edible",207,"Frozen Vegetables",20710,"Vegetable Products",2,14544.000000000002,2018
"Vegetables and certain roots and tubers; edible",207,"Preserved Vegetables",20711,"Vegetable Products",2,261.00000000000006,2018
"Vegetables and certain roots and tubers; edible",207,"Dried Vegetables",20712,"Vegetable Products",2,2229898,2018
"Vegetables and certain roots and tubers; edible",207,"Dried Legumes",20713,"Vegetable Products",2,18403,2018
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Other Nuts",20802,"Vegetable Products",2,3725.9999999999995,2018
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Tropical Fruits",20804,"Vegetable Products",2,4434,2018
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Grapes",20806,"Vegetable Products",2,64551,2018
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Other Fruits",20810,"Vegetable Products",2,986,2018
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,14536,2018
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Dried Fruits",20813,"Vegetable Products",2,355679,2018
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,11505.999999999998,2018
"Coffee, tea, mate and spices",209,"Coffee",20901,"Vegetable Products",2,34993833,2018
"Coffee, tea, mate and spices",209,"Tea",20902,"Vegetable Products",2,3448620,2018
"Coffee, tea, mate and spices",209,"Maté",20903,"Vegetable Products",2,9846,2018
"Coffee, tea, mate and spices",209,"Pepper",20904,"Vegetable Products",2,528054,2018
"Coffee, tea, mate and spices",209,"Vanilla",20905,"Vegetable Products",2,9457,2018
"Coffee, tea, mate and spices",209,"Cinnamon",20906,"Vegetable Products",2,134478,2018
"Coffee, tea, mate and spices",209,"Cloves",20907,"Vegetable Products",2,1271,2018
"Coffee, tea, mate and spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,810,2018
"Coffee, tea, mate and spices",209,"Spice Seeds",20909,"Vegetable Products",2,192269,2018
"Coffee, tea, mate and spices",209,"Spices",20910,"Vegetable Products",2,385347,2018
"Cereals",210,"Wheat",21001,"Vegetable Products",2,127,2018
"Cereals",210,"Corn",21005,"Vegetable Products",2,2256.9999999999995,2018
"Cereals",210,"Rice",21006,"Vegetable Products",2,13285,2018
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,1261,2018
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,"Wheat Flours",21101,"Vegetable Products",2,342778,2018
